Species,haploid,Acro,Meta,perc.acro,FNa
Acinonyx_jubatus,19,2,34,0.055555556,70
Acomys_airensis,21,14,26,0.35,66
Acomys_dimidiatus,19,4,32,0.111111111,68
Aconaemys_fuscus,28,0,54,0,108
Aconaemys_porteri,29,0,56,0,112
Aconaemys_sagei,27,0,52,0,104
Acrobates_pygmaeus,7,0,12,0,24
Addax_nasomaculatus,29,54,2,0.964285714,58
Aepyceros_melampus,30,58,0,1,58
Agouti_taczanowskii,21,0,40,0,80
Ailoropoda_melanoluca,21,6,34,0.15,74
Ailurus_fulges,18,2,32,0.058823529,66
Akodon_aerosus,20,38,0,1,38
Necromys_amoenus,17,32,0,1,32
Akodon_azare,19,36,0,1,36
Akodon_berlespchii,20,38,0,1,38
Akodon_boliviensis,20,38,0,1,38
Akodon_cursor,12,2,20,0.090909091,42
Akodon_illuteus,26,48,2,0.96,52
Akodon_lindberghi,21,40,0,1,40
Akodon_longipilis,26,48,2,0.96,52
Akodon_montensis,12,6,16,0.272727273,38
Akodon_olivaceus,26,48,2,0.96,52
Akodon_sanborni,26,48,2,0.96,52
Akodon_serrensis,22,42,0,1,42
Akodon_urichi_venezeulensis,9,0,16,0,32
Akodon_variussimulator,21,40,0,1,40
Akodon_xanthorhinus,26,48,2,0.96,52
Alcephalus_busephalus,20,18,20,0.473684211,58
Alces_alces,34,62,4,0.939393939,70
Alces_alces_americana,35,66,2,0.970588235,70
Alopex_lagopus,25,0,48,0,96
Alouatta_caraya,26,30,20,0.6,70
Aloutta_belzebul,25,26,22,0.541666667,70
Aloutta_seniculus,22,28,14,0.666666667,56
Alticola_argentatus,28,50,4,0.925925926,58
Alticola_barakshin,28,50,4,0.925925926,58
Alticola_semicanus,28,48,6,0.888888889,60
Alticola_strelzovi,28,50,4,0.925925926,58
Ametrida_centurio,15,4,24,0.142857143,52
Ammospermophilus_harrisii,16,0,30,0,60
Ammospermophilus_insularis,16,0,30,0,60
Ammospermophilus_interpres,16,0,30,0,60
Ammospermophilus_leucurus,16,0,30,0,60
Ammospermophilus_nelsoni,16,0,30,0,60
Ammospermophilus_spilosoma,16,0,30,0,60
Ammotragus_lervia,29,56,0,1,56
Anotomys_leander,46,82,8,0.911111111,98
Anourosorex_squamipes,25,4,44,0.083333333,92
Antidorcas_marsupialis,28,50,4,0.925925926,58
Antilope_cervicapra,15,0,28,0,56
Antrozous_pallidus,23,38,6,0.863636364,50
Aotus_trivirgatus,27,34,18,0.653846154,70
Apodemus_flavicolis,25,48,0,1,48
Apodemus_pensuli,24,46,0,1,46
Apodemus_sylvaticus,24,46,0,1,46
Arctictis_binturong,21,10,30,0.25,70
Arctocebus_calabarensis,26,0,50,0,100
Ardops_nichollsi,15,0,28,0,56
Ariteus_flavecens,15,0,28,0,56
Artiebeus_cinereus,15,0,28,0,56
Artiebeus_fulginosus,15,0,28,0,56
Artiebeus_glaucus,15,0,28,0,56
Artiebeus_jamaicensis,15,4,24,0.142857143,52
Artiebeus_lituratus,15,0,28,0,56
Artiebeus_phaeotis,15,0,28,0,56
Artiebeus_planirostris,15,0,28,0,56
Artiebeus_watsoni,15,0,28,0,56
Arttogalidia_trivigarta_stigmatica,20,14,24,0.368421053,62
Arvicanthis_abyssinicus,31,60,0,1,60
Arvicanthis_niloticus,29,42,14,0.75,70
Arvicola_sherman_exitus,18,8,26,0.235294118,60
Arvicola_terrestris,18,0,34,0,68
Aselliscus_stoliczkanus,15,0,28,0,56
